Dictionaries,Economic Terms,Economist.com,http://www.economist.com/economics-a-to-z,,
Dictionaries,Global Investor Glossary,,http://www.finance-glossary.com,,
Dictionaries,Acronyms,Investopedia.com,http://www.investopedia.com/categories/acronyms.asp,,
Dictionaries,Investopedia: Dictionary,,http://www.investopedia.com/dictionary,,
Dictionaries,Investing Glossary - InvestorWords.com,,http://www.investorwords.com,,
Dictionaries,Glossary of Financial and Business Terms,New York Times,http://www.nytimes.com/library/financial/glossary/bfglosa.html,,
Dictionaries,Value Line: Glossary of Investment Terms,,http://www.valueline.com/Tools/glossary.aspx,,
Dictionaries,Business Terms Glossary,washingtonpost.com,http://www.washingtonpost.com/wp-dyn/business/specials/glossary/index.html,,
Dictionaries:Information Technology,Webopedia,,http://www.webopedia.com,,
E-Commerce,Web Marketing & E-Commerce,,http://webmarketingtoday.com,,
E-Commerce,Measuring the Electronic Economy ,U.S. Census Bureau,http://www.census.gov/econ/estats,,
E-Commerce,E-Commerce Times,,http://www.ecommercetimes.com,,
E-Commerce,Doing Business on the Internet ,Library of Congress,http://www.loc.gov/rr/business/ecommerce,,
Finance,Current Value of Old Money,,http://projects.exeter.ac.uk/RDavies/arian/current/howmuch,,
National Economies,FRED (Federal Reserve Economic Data),"Database of over 25,000 U.S. Economic Series including over 400 Banking related sets. Download to txt and excel.",http://research.stlouisfed.org/fred2,,
National Economies:Statistics,Global Economic Monitor,World Bank,http://data.worldbank.org/data-catalog/global-economic-monitor,,
Education,College & University Endowments ,Chronicle of Higher Education,http://chronicle.com/stats/endowments,,
Education,National Center for Education Statistics,,http://nces.ed.gov,,
Education,Universities Worldwide,,http://univ.cc,,
Education,Academic Ranking of World Universities,,http://www.arwu.org,,
Education,Public School Finance Data,,http://www.census.gov/govs/school,,
Education,BizDeansTalk ,Blog,http://www.deanstalk.net,,
Education,EDUCAUSE,,https://www.educause.edu/library,,
Education,Global Grad School Directory,,http://www.gradschools.com,,
Education,Peterson's Education Directory,,http://www.petersons.com,,
Education:Jobs,Chronicle of Higher Education,,http://chronicle.com,,
Information Technology,Semiconductor Industry Association,,http://www.semiconductors.org,,
Encyclopedia,Encyclopedia of American Industries,online version of 2005 print publication by Gale Rsearch.,http://www.referenceforbusiness.com/industries,,
Encyclopedia,Encylcopedia of Management,online version of 2005 print publication by Gale Rsearch.,http://www.referenceforbusiness.com/management,,
